Том,№,Субъект,,,Карта 27,Карта 28,Карта 29,Карта 30,Карта 31,Карта 32,Карта 33,Карта 34,Карта 35,Карта 36,Карта 37,Карта 38,Карта 39,Карта 40,Карта 41,Карта 42,Карта 43,Карта 44,Карта 45,Карта 46,Карта 47,Карта 48,Карта 49,Карта 50,Карта 51,Карта 52,Карта 53,Карта 54,Карта 55,Карта 56,Карта 57,Карта 58,Карта 59,Карта 60,Карта 61,Карта 62,Карта 63,Карта 64,Карта 65,Карта 66,Карта 67,Карта 68
2,131,16,д,Средние Пинячи,2,1,1,2,1,1,2,2,1,11,3,1,1,1,1,1,1,7,1,1,1,1,1,1,1,1,1,7,1,1,7,2,1,7,1,1,2,2,2,1,1,1
2,124,16,с,Мелекес,2,1,1,2,1,1,2,2,1,7,3,3,1,1,1,1,1,7,1,1,1,1,1,1,1,3,8,7,1,1,7,2,1,7,1,1,2,2,2,1,1,1
2,123,16,с,Верхний Такермен,2,1,1,3,1,1,2,3,1,11,3,1,1,1,1,1,2,7,1,1,1,2,1,1,1,1,8,8,1,7,7,2,1,6,1,2,2,8,8,1,1,1
2,119,16,с,Калмия,2,1,1,1,1,1,2,3,1,11,3,1,1,1,1,1,2,7,1,1,1,2,1,1,1,1,8,1,1,1,7,2,1,6,1,1,2,3,3,1,1,1
2,115,16,д,Мунайка,2,1,1,2,1,1,2,2,1,11,3,1,1,1,1,1,1,7,1,1,1,1,1,1,1,3,8,8,1,1,2,2,1,8,1,1,2,2,2,1,1,1
2,110,16,,Рысово,2,1,1,1,1,1,2,2,1,11,1,1,1,1,1,1,3,1,1,1,11,3,1,1,1,1,7,7,1,8,2,2,1,6,1,3,2,8,8,1,1,1
2,128,16,,Верхнее Абдулово,2,1,1,1,1,1,2,3,1,11,3,1,1,1,1,1,2,7,1,1,1,2,1,1,1,1,8,1,1,7,7,2,1,7,1,1,2,3,1,1,1,1
1,3,16,с,Янга-Аул,2,1,1,1,1,2,2,1,10,11,12,12,2,1,2,1,1,8,1,1,1,1,1,1,1,1,7,1,2,7,7,3,1,1,1,1,1,1,3,1,1,1
1,165,16,п,Ерыклинский,1,1,1,1,1,1,8,1,8,2,2,1,2,2,1,16,1,1,7,1,1,1,1,8,1,1,8,1,1,1,8,6,1,8,2,1,1,1,1,2,1,1
2,120,16,,Нижние Гордалы,2,1,1,2,1,1,2,2,1,11,3,1,1,1,1,1,1,7,1,1,1,1,1,1,1,2,8,1,1,8,7,2,1,7,1,1,2,2,2,1,1,1
