Том,№,Субъект,,,Карта 69,Карта 70,Карта 71,Карта 72,Карта 73,Карта 74,Карта 75,Карта 76,Карта 77,Карта 78,Карта 79,Карта 80,Карта 81,Карта 82,Карта 83,Карта 84,Карта 85,Карта 87,Карта 88,Карта 89,Карта 90,Карта 91,Карта 92,Карта 93,Карта 94,Карта 95,Карта 96,Карта 97,Карта 98,Карта 99,Карта 100,Карта 101,Карта 102,Карта 103,Карта104,Карта 105,Карта 106,Карта 107,Карта 108,Карта 109,Карта 110,Карта 111,Карта 112,Карта 113,Карта 114,Карта 115,Карта 116,Карта 117,Карта 118
2,129,16,с,Аю,1,1,1,1,1,1,1,1,6,1,2,1,1,6,1,1,1,7,1,2,8,1,1,8,8,1,8,1,1,1,2,1,3,2,1,1,7,1,1,8,7,1,1,7,1,2,1,1,1
2,122,16,,Ст.Мелькен,1,1,7,1,1,1,1,1,6,1,2,1,2,2,1,1,1,7,1,1,8,1,8,8,8,1,8,1,1,1,2,1,3,2,1,1,1,1,1,18,7,1,1,1,1,1,1,1,1
2,127,16,с,Верхние Юшады,1,1,7,1,1,1,1,1,1,1,2,1,2,2,1,1,1,7,1,1,8,1,8,1,8,1,8,1,1,1,2,1,3,2,1,1,1,1,1,18,7,1,1,7,1,2,1,1,1
2,138,16,,Сарсаз Такермень,1,1,1,1,1,1,1,1,1,1,2,1,1,6,1,1,1,7,1,1,8,1,8,1,8,1,8,1,8,1,2,1,3,2,1,1,1,1,1,8,7,1,1,7,1,1,7,1,1
2,142,16,с,Ляки,1,1,7,1,1,1,1,1,1,1,1,1,2,2,1,1,1,7,1,1,8,1,8,1,8,1,8,1,1,1,2,1,3,2,1,1,1,1,1,18,7,1,1,7,8,1,1,1,1
2,144,16,с,Средний Багряж,1,1,7,1,1,1,1,1,1,1,2,1,2,2,6,1,1,7,1,2,8,1,8,1,8,1,8,1,1,1,2,1,3,2,1,1,1,1,1,8,7,1,1,1,8,1,7,1,1
2,137,16,д,Кабан-Бастрык,1,1,7,1,1,1,1,1,1,8,1,1,2,2,6,1,1,7,1,2,8,1,8,1,8,1,8,1,1,1,2,1,3,2,1,1,1,1,1,18,7,1,1,7,8,1,7,1,1
2,132,16,с,Кадырово,1,1,1,1,1,1,1,1,1,1,1,1,1,2,6,1,1,7,1,2,8,1,8,1,1,1,8,1,8,1,2,1,3,2,1,1,1,1,1,18,7,1,1,7,8,2,7,1,1
2,133,16,с,Бурды,1,1,7,1,1,1,1,1,1,8,2,1,2,2,6,1,1,7,1,2,8,1,8,1,8,1,8,1,1,1,2,1,3,2,1,1,1,1,1,18,7,1,1,7,8,1,7,1,1
2,131,16,д,Средние Пинячи,1,1,7,1,1,1,1,1,1,1,2,1,2,2,1,1,1,7,1,2,8,1,8,1,8,1,2,1,1,1,2,1,3,2,1,1,1,1,1,8,7,1,1,7,8,1,1,1,1
2,124,16,с,Мелекес,1,1,7,1,1,1,1,1,1,1,1,1,2,2,1,1,1,7,1,2,8,1,8,1,8,1,2,1,1,1,2,1,3,2,1,1,1,1,1,18,7,1,1,7,8,1,1,1,1
2,123,16,с,Верхний Такермен,1,1,1,1,1,1,1,1,1,1,2,1,1,6,6,1,1,7,1,2,8,1,8,1,8,1,2,1,8,1,2,1,3,2,1,1,1,1,1,18,7,1,1,7,8,2,1,1,1
2,119,16,с,Калмия,1,1,1,1,1,1,1,1,1,1,2,1,1,6,1,1,1,7,1,2,8,1,8,1,8,1,8,1,8,1,3,1,3,2,1,1,1,1,1,18,7,1,1,1,1,1,1,1,1
2,115,16,д,Мунайка,1,1,7,1,1,1,1,1,1,1,2,1,2,2,1,1,1,7,1,2,7,1,7,1,8,1,2,1,1,1,2,1,3,2,1,1,2,1,1,8,7,1,1,7,8,1,1,1,1
2,110,16,,Рысово,1,1,1,1,1,1,1,1,1,1,2,1,1,6,1,1,1,7,1,1,7,1,7,1,8,1,2,1,2,1,1,1,3,2,1,1,1,1,1,8,7,1,11,1,1,2,1,1,1
2,128,16,,Верхнее Абдулово,1,1,1,1,1,1,1,1,1,1,1,1,1,6,1,1,1,7,1,2,8,1,8,1,8,1,8,1,8,1,2,1,3,2,1,1,1,1,1,18,7,1,1,7,8,1,1,1,1
1,3,16,с,Янга-Аул,1,1,2,1,1,1,1,1,1,8,1,1,1,6,6,1,1,2,1,1,8,1,7,1,8,1,2,1,8,1,1,1,3,2,1,1,2,1,1,1,7,1,1,1,1,1,1,12,1
1,165,16,п,Ерыклинский,1,1,10,1,1,2,1,1,1,1,1,1,2,6,2,1,2,8,1,1,1,1,7,1,1,3,1,1,1,1,2,1,11,1,1,1,7,2,2,1,7,1,1,1,1,1,1,1,1
2,120,16,,Нижние Гордалы,1,1,7,1,1,1,1,1,1,8,2,1,2,2,6,1,1,7,1,2,8,1,8,1,8,1,2,1,1,1,3,1,3,2,1,1,1,1,1,8,7,1,1,7,8,1,1,1,1
1,109,16,с,Штырь,1,1,2,1,1,1,1,1,2,8,2,1,1,2,6,1,1,2,8,1,8,1,7,1,8,1,2,1,8,1,1,1,3,2,1,1,1,1,1,2,2,1,1,1,8,1,7,1,1
2,109,16,д,Псеево,1,1,1,1,1,1,1,1,1,1,2,1,1,6,6,1,1,7,1,2,7,1,7,1,8,1,2,1,8,1,1,1,3,2,1,1,1,1,1,8,7,1,1,1,1,1,7,1,1
2,114,16,с,Бизяки,1,1,1,1,1,1,1,1,1,1,2,1,1,6,1,1,1,7,1,2,7,1,7,1,8,1,2,1,8,1,1,1,3,2,1,1,1,1,1,1,7,1,1,1,1,1,1,1,1
2,113,16,с,Старое Гришкино,1,1,7,1,1,1,1,1,1,1,2,1,2,6,1,1,1,7,1,2,7,1,7,1,8,1,2,1,1,1,1,1,3,2,1,1,1,1,1,8,8,1,1,7,8,1,1,1,1
2,112,16,д,Абалачи,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,7,1,2,7,1,2,1,8,1,2,1,8,1,3,1,3,2,1,1,1,1,1,8,7,1,1,7,8,1,7,1,1
2,118,16,с,Морты,1,1,1,1,1,1,1,1,1,8,2,1,1,6,1,1,1,7,1,2,8,1,1,1,8,1,2,1,8,1,2,1,3,2,1,1,2,1,1,1,8,1,1,7,8,1,7,1,1
2,117,16,с,Большой Шурняк,1,1,7,1,1,1,1,1,1,1,2,1,2,2,1,1,1,7,1,2,8,1,8,1,8,1,2,1,1,1,2,1,3,2,1,1,1,1,1,1,8,1,1,7,8,2,7,1,1
